name,slug,latitude,longitude
Docelles—Cheniménil,docelles-chenimenil,48.1436134,6.6104793
Lépanges,lepanges,48.1727165,6.6722884
Charmes,charmes,48.378483,6.301537
Vincey,vincey,48.3436471,6.3355129
Châtel—Nomexy,chatel-nomexy,48.307156,6.387807
Igney,igney,48.2709639,6.3995463
Thaon,thaon,48.24465,6.416384
Raves—Ban-de-Laveline,raves-ban-de-laveline,48.265723,7.0378799
Xertigny,xertigny,48.0530255,6.3767687
Bains-les-Bains,bains-les-bains,47.9811282,6.2952683
Laveline-devant-Bruyères,laveline-devant-bruyeres,48.185596,6.7512466
Biffontaine,biffontaine,48.2059398,6.8071811
Corcieux—Vanémont,corcieux-vanemont,48.1982842,6.8772915
Mirecourt,mirecourt,48.299243,6.129651
Contrexéville,contrexeville,48.1796129,5.890633
Martigny-les-Bains,martigny-les-bains,48.1086889,5.8255764
Lamarche,lamarche,48.0901299,5.7604385
Rozières-sur-Mouzon,rozieres-sur-mouzon,48.1208921,5.7054886
Provenchères-sur-Fave,provencheres-sur-fave,48.3046291,7.0854904
Colroy—Lubine,colroy-lubine,48.3145855,7.1317294
Pouxeux,pouxeux,48.1039421,6.5810266
Éloyes,eloyes,48.087067,6.6001593
Vecoux,vecoux,47.980175,6.636951
St-Léonard,st-leonard,48.2170818,6.9415509
Rupt-sur-Moselle,rupt-sur-moselle,47.933333,6.666667
Ferdrupt,ferdrupt,47.9,6.716667
Ramonchamp,ramonchamp,47.9,6.75
Le Thillot,le-thillot,47.883333,6.766667
Fresse,fresse,47.866667,6.783333
St-Maurice-sur-Moselle,st-maurice-sur-moselle,47.866667,6.833333
Bussang,bussang,47.883333,6.85
Raon-l’Étape,raon-letape,48.404002,6.837302
Vagney,vagney,48.005974,6.710573
Étival-Clairefontaine,etival-clairefontaine,48.3671987,6.8769607
Zainvillers,zainvillers,47.996347,6.713764
Thiéfosse,thiefosse,47.969892,6.73061
Saulxures-sur-Moselotte,saulxures-sur-moselotte,47.95,6.766667
St-Michel-sur-Meurthe,st-michel-sur-meurthe,48.3269843,6.8882777
Cornimont,cornimont,47.966667,6.833333
Deinvillers,deinvillers,48.416667,6.55
Rambervillers,rambervillers,48.35,6.633333
Jeanmenil,jeanmenil,48.333333,6.683333
Autrey,autrey,48.3,6.683333
Dompaire,dompaire,48.216667,6.216667
Brouvelieures,brouvelieures,48.233333,6.733333
Bocquegney,bocquegney,48.216667,6.3
Racecourt,racecourt,48.25,6.183333
